"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
6801608,"305",NA,NA,NA,NA,54.91,55.027,55.185,55.4175,55.5913,55.6225,55.735,10,2009,2022,"11-01"
6801608,"306",NA,NA,NA,NA,55.015,55.138,55.3225,55.63,55.645,55.654,55.66,3,2009,2022,"11-02"
6801608,"335",NA,NA,NA,NA,54.525,54.8175,55.27,55.58,55.6075,55.6255,55.675,10,2009,2022,"12-01"
6801608,"336",NA,NA,NA,NA,54.94,55.089,55.3125,55.685,55.7325,55.761,55.78,3,2009,2022,"12-02"
6802302,"1","2022-01-01",220.265,"Jan","01-01",220.265,220.923,221.91,223.555,226.415,228.131,229.275,3,2020,2022,"01-01"
6802302,"32","2022-02-01",221.425,"Feb","02-01",221.425,221.773,222.295,223.165,225.0525,226.185,226.94,3,2020,2022,"02-01"
6802302,"60","2022-03-01",223.39,"Mar","03-01",223.39,223.657,224.0575,224.725,225.3925,225.793,226.06,2,2020,2022,"03-01"
6802302,"61",NA,NA,NA,NA,221.285,221.285,221.285,221.285,221.285,221.285,221.285,1,2020,2022,"03-02"
6802302,"91",NA,NA,NA,NA,226.24,226.24,226.24,226.24,226.24,226.24,226.24,1,2020,2022,"04-01"
6802302,"92",NA,NA,NA,NA,219.665,219.665,219.665,219.665,219.665,219.665,219.665,1,2020,2022,"04-02"
6802302,"121",NA,NA,NA,NA,223.17,223.17,223.17,223.17,223.17,223.17,223.17,1,2020,2022,"05-01"
6802302,"122",NA,NA,NA,NA,223.45,223.45,223.45,223.45,223.45,223.45,223.45,1,2020,2022,"05-02"
6802302,"152",NA,NA,NA,NA,225.31,225.31,225.31,225.31,225.31,225.31,225.31,1,2020,2022,"06-01"
6802302,"153",NA,NA,NA,NA,222.51,222.51,222.51,222.51,222.51,222.51,222.51,1,2020,2022,"06-02"
6802302,"182",NA,NA,NA,NA,221.48,221.48,221.48,221.48,221.48,221.48,221.48,1,2020,2022,"07-01"
6802302,"183",NA,NA,NA,NA,231.625,231.625,231.625,231.625,231.625,231.625,231.625,1,2020,2022,"07-02"
6802302,"213",NA,NA,NA,NA,222.695,222.695,222.695,222.695,222.695,222.695,222.695,1,2020,2022,"08-01"
6802302,"214",NA,NA,NA,NA,234.625,234.625,234.625,234.625,234.625,234.625,234.625,1,2020,2022,"08-02"
6802302,"244",NA,NA,NA,NA,224.035,224.035,224.035,224.035,224.035,224.035,224.035,1,2020,2022,"09-01"
6802302,"245",NA,NA,NA,NA,233.075,233.075,233.075,233.075,233.075,233.075,233.075,1,2020,2022,"09-02"
6802302,"274",NA,NA,NA,NA,222.105,222.105,222.105,222.105,222.105,222.105,222.105,1,2020,2022,"10-01"
6802302,"275",NA,NA,NA,NA,235.11,235.11,235.11,235.11,235.11,235.11,235.11,1,2020,2022,"10-02"
6802302,"305",NA,NA,NA,NA,218.935,218.935,218.935,218.935,218.935,218.935,218.935,1,2020,2022,"11-01"
6802302,"306",NA,NA,NA,NA,232.68,232.68,232.68,232.68,232.68,232.68,232.68,1,2020,2022,"11-02"
6802302,"335",NA,NA,NA,NA,219.985,219.985,219.985,219.985,219.985,219.985,219.985,1,2020,2022,"12-01"
6802302,"336",NA,NA,NA,NA,230.025,230.025,230.025,230.025,230.025,230.025,230.025,1,2020,2022,"12-02"
6802406,"1","2022-01-01",277.63,"Jan","01-01",232.95,251.926,258.9,265.225,275.285,276.472,278.5,17,2005,2022,"01-01"
6802406,"32","2022-02-01",278.31,"Feb","02-01",235.6,255.714,260.765,265,273.49,276.498,279.8,17,2005,2022,"02-01"
6802406,"60","2022-03-01",280.73,"Mar","03-01",242.665,253.279,260.5,263.6,272.66,279.424,280.875,13,2005,2022,"03-01"
